カテゴリ名,ディレクトリID
CD・DVD >> DVD >> ミュージック >> 洋楽 >> テクノ・リミックス・ハウス,400063
CD・DVD >> DVD >> ミュージック >> 洋楽 >> トランス・ユーロビート,508053
CD・DVD >> DVD >> ミュージック >> 洋楽 >> パンク・ハードコア,400064
CD・DVD >> DVD >> ミュージック >> 洋楽 >> フォーク・カントリー,508054
CD・DVD >> DVD >> ミュージック >> 洋楽 >> ヘビーメタル・ハードロック,400059
CD・DVD >> DVD >> ミュージック >> 洋楽 >> ラップ・ヒップホップ,400062
CD・DVD >> DVD >> ミュージック >> 洋楽 >> ロック・ポップス,300347
CD・DVD >> DVD >> 趣味・実用・教養 >> BGV,508068
CD・DVD >> DVD >> 趣味・実用・教養 >> アウトドア,508062
CD・DVD >> DVD >> 趣味・実用・教養 >> その他,101379
CD・DVD >> DVD >> 趣味・実用・教養 >> ファッション・メイク,508061
CD・DVD >> DVD >> 趣味・実用・教養 >> 語学,500183
CD・DVD >> DVD >> 趣味・実用・教養 >> 自動車・バイク,508075
CD・DVD >> DVD >> 趣味・実用・教養 >> 鉄道,500188
CD・DVD >> DVD >> 趣味・実用・教養 >> 伝統,500187
CD・DVD >> DVD >> 趣味・実用・教養 >> 動物・ペット,508059
CD・DVD >> DVD >> 趣味・実用・教養 >> 飛行機,508067
CD・DVD >> DVD >> 趣味・実用・教養 >> 美術・工芸,500190
CD・DVD >> DVD >> 趣味・実用・教養 >> 旅行,500186
CD・DVD >> DVD >> 趣味・実用・教養 >> 料理,500189
CD・DVD >> DVD >> 趣味・実用・教養 >> 歴史・地理,500185
CD・DVD >> DVD >> 特撮ヒーロー,505030
CD・DVD >> DVD >> 舞台 >> オペラ,508079
CD・DVD >> DVD >> 舞台 >> その他,508083
CD・DVD >> DVD >> 舞台 >> バレエ,508081
CD・DVD >> DVD >> 舞台 >> ミュージカル,508080
CD・DVD >> DVD >> 舞台 >> 演劇,406294
CD・DVD >> DVD >> 舞台 >> 歌舞伎・能・狂言,508082
CD・DVD >> DVD >> 邦画 >> SF,508005
CD・DVD >> DVD >> 邦画 >> アクション,101371
CD・DVD >> DVD >> 邦画 >> コメディー,300334
CD・DVD >> DVD >> 邦画 >> サスペンス・ミステリー,300330
CD・DVD >> DVD >> 邦画 >> スポーツ,508008
CD・DVD >> DVD >> 邦画 >> その他,101952
CD・DVD >> DVD >> 邦画 >> ドキュメンタリー,508015
CD・DVD >> DVD >> 邦画 >> ヒューマン,300332
CD・DVD >> DVD >> 邦画 >> ファンタジー,508009
CD・DVD >> DVD >> 邦画 >> ホラー,200554
CD・DVD >> DVD >> 邦画 >> ミュージカル,508012
CD・DVD >> DVD >> 邦画 >> ロマンス・ラブストーリー,300331
CD・DVD >> DVD >> 邦画 >> 時代劇,300335
CD・DVD >> DVD >> 邦画 >> 仁侠,508010
CD・DVD >> DVD >> 邦画 >> 青春,508007
CD・DVD >> DVD >> 邦画 >> 戦争,300333
CD・DVD >> DVD >> 洋画 >> SF,101369
CD・DVD >> DVD >> 洋画 >> アクション,101361
CD・DVD >> DVD >> 洋画 >> アニメ,563971
CD・DVD >> DVD >> 洋画 >> ギャング・マフィア,507987
CD・DVD >> DVD >> 洋画 >> コメディー,101363
CD・DVD >> DVD >> 洋画 >> サスペンス・ミステリー,101365
CD・DVD >> DVD >> 洋画 >> スポーツ,507985
CD・DVD >> DVD >> 洋画 >> その他,101951
CD・DVD >> DVD >> 洋画 >> ドキュメンタリー,507993
CD・DVD >> DVD >> 洋画 >> ヒューマン,101368
CD・DVD >> DVD >> 洋画 >> ファンタジー,507986
CD・DVD >> DVD >> 洋画 >> ホラー,101360
CD・DVD >> DVD >> 洋画 >> ミュージカル,507989
CD・DVD >> DVD >> 洋画 >> ロマンス・ラブストーリー,101366
CD・DVD >> DVD >> 洋画 >> 史劇,507990
CD・DVD >> DVD >> 洋画 >> 西部劇,101362
CD・DVD >> DVD >> 洋画 >> 青春,507984
CD・DVD >> DVD >> 洋画 >> 戦争,101359
CD・DVD >> LD >> アイドル,200726
CD・DVD >> LD >> アニメ >> オリジナルアニメ,200583
CD・DVD >> LD >> アニメ >> キッズアニメ,200584
CD・DVD >> LD >> アニメ >> その他,200587
CD・DVD >> LD >> アニメ >> 特撮ヒーロー,200585
CD・DVD >> LD >> スポーツ,200558
CD・DVD >> LD >> その他,200562
CD・DVD >> LD >> ミュージック,200560
CD・DVD >> LD >> 趣味・実用・教養,200561
CD・DVD >> LD >> 邦画 >> その他,200582
CD・DVD >> LD >> 邦画 >> ホラー・SF,200581
CD・DVD >> LD >> 邦画 >> 邦映画,200578
CD・DVD >> LD >> 邦画 >> 邦画アクション（Vシネマ）,200580
CD・DVD >> LD >> 邦画 >> 邦画ドラマ,200579
CD・DVD >> LD >> 洋画 >> SF,200568
CD・DVD >> LD >> 洋画 >> アクション,200570
CD・DVD >> LD >> 洋画 >> コメディー,200572
CD・DVD >> LD >> 洋画 >> サスペンス・ミステリー,200564
CD・DVD >> LD >> 洋画 >> その他,200577
CD・DVD >> LD >> 洋画 >> ヒューマン,200566
CD・DVD >> LD >> 洋画 >> ホラー,200573
CD・DVD >> LD >> 洋画 >> ロマンス・ラブストーリー,200565
CD・DVD >> カセット >> その他,207401
CD・DVD >> カセット >> 伝統音楽・芸能 >> その他,406286
CD・DVD >> カセット >> 伝統音楽・芸能 >> 伝統芸能,406283
CD・DVD >> カセット >> 伝統音楽・芸能 >> 民謡・講談・浪曲,406285
